Enzyme,Temperature_C,Activity_U/mL,pH,Substrate_mM
Wild_Type,50,22.59260231104743,8.0,20
Mutant_A,55,55.476996481624035,7.0,20
Mutant_B,60,-2.96490556634021,7.0,5
Wild_Type,65,-2.8669807835765715,7.5,10
Mutant_A,70,-3.047816234572008,6.0,5
Mutant_B,75,4.62574439520261,6.5,10
Wild_Type,20,-0.938185460105962,7.0,20
Mutant_A,25,7.253711002701909,6.0,20
Mutant_B,30,78.55779908616664,6.5,20
Wild_Type,35,90.74037858845578,7.0,5
Mutant_A,40,88.06808948078677,7.0,1
Mutant_B,45,4.448069149852085,6.0,20
Wild_Type,50,11.021739489996992,6.0,20
Mutant_A,55,46.716176768940855,8.0,20
Mutant_B,60,4.268827106542285,6.5,10
Wild_Type,65,4.832734090432657,8.0,1
Mutant_A,70,-2.9007657492875936,7.0,5
Mutant_B,75,1.539655192795923,7.0,10
Wild_Type,20,5.583649685826071,7.0,10
Mutant_A,25,5.655536204860724,6.0,5
Mutant_B,30,82.22431079538656,6.0,5
Wild_Type,35,96.53034157768754,6.0,1
Mutant_A,40,84.16437947186803,8.0,1
Mutant_B,45,7.5990377453549875,7.0,5
Wild_Type,50,19.0063347999862,6.5,20
Mutant_A,55,40.67166972051811,7.5,20
Mutant_B,60,-1.3360050453679695,6.0,1
Wild_Type,65,-6.456758845988396,6.5,20
Mutant_A,70,-1.3738727391656216,7.0,1
Mutant_B,75,2.5293438392205676,8.0,5
Wild_Type,20,16.002919117168126,6.5,5
Mutant_A,25,-2.8656696073532877,6.0,20
Mutant_B,30,79.88012964865175,6.5,10
Wild_Type,35,91.27159866503962,6.0,5
Mutant_A,40,92.99326302373562,6.0,1
Mutant_B,45,7.313277559283175,6.0,10
Wild_Type,50,22.616413209795585,8.0,1
Mutant_A,55,49.01613083252511,6.5,10
Mutant_B,60,0.8239635728174366,6.0,20
Wild_Type,65,-0.5330931964561691,7.0,10
Mutant_A,70,6.163996659430552,6.5,1
Mutant_B,75,0.898958382734137,6.5,10
Wild_Type,20,13.139829349315733,8.0,1
Mutant_A,25,-5.972283431492491,6.0,20
Mutant_B,30,88.90985450497882,8.0,10
Wild_Type,35,92.99030541079638,6.0,1
Mutant_A,40,88.02409750427479,6.5,1
Mutant_B,45,8.208171324925589,6.5,20
Wild_Type,50,12.633440300557641,6.5,20
Mutant_A,55,46.99023041559417,7.0,5
Mutant_B,60,-2.3033464933751975,7.5,10
Wild_Type,65,1.476142428228145,7.5,1
Mutant_A,70,-4.655039057844112,7.5,5
Mutant_B,75,-1.1121811637614234,8.0,20
Wild_Type,20,6.042280100549283,6.5,5
Mutant_A,25,1.2559549222457036,8.0,20
Mutant_B,30,87.95801079186472,6.5,20
Wild_Type,35,99.00799805160622,7.0,5
Mutant_A,40,94.47447092864378,6.5,10
Mutant_B,45,-0.8506655370437262,8.0,1
Wild_Type,50,20.342899680151245,6.5,1
Mutant_A,55,50.32623451643143,6.5,10
Mutant_B,60,-3.439986233348215,6.5,20
Wild_Type,65,-0.9524065569932254,7.0,10
Mutant_A,70,-14.897044868265674,8.0,10
Mutant_B,75,-6.228130988640438,7.5,10
Wild_Type,20,-4.862576096418302,7.0,1
Mutant_A,25,2.7184848981112273,6.0,20
Mutant_B,30,79.24883252964335,7.5,5
Wild_Type,35,95.54986139967876,8.0,20
Mutant_A,40,91.27132327368926,7.5,20
Mutant_B,45,13.527619546275307,7.0,20
Wild_Type,50,12.287936267644064,6.5,20
Mutant_A,55,43.77491024907586,7.0,5
Mutant_B,60,2.991818698084636,8.0,1
Wild_Type,65,-0.8575959065908411,7.5,5
Mutant_A,70,-0.2223208425244401,7.5,20
Mutant_B,75,-4.1253980161599735,6.5,10
